# Znak Russian dictionary.
# Source: hingston/russian 50000-russian-words-cyrillic-only.txt
# Derived from University of Leeds Corpus, CC BY Attribution.
# Format:
#   word frequency
# Lines beginning with # are ignored. Frequency is optional; higher means earlier.
процедура 98281
исключительно 98280
основное 98279
кадр 98278
рассмотреть 98277
штаб 98276
вставать 98275
выступление 98274
извинить 98273
внимательно 98272
юрий 98271
малыш 98270
вернуть 98269
еда 98268
милиция 98267
ожидание 98266
господь 98265
изучать 98264
философия 98263
смех 98262
громко 98261
многочисленный 98260
жизненный 98259
узкий 98258
ценный 98257
чиновник 98256
блок 98255
зайти 98254
прибыть 98253
страдать 98252
водитель 98251
концепция 98250
оттуда 98249
острый 98248
прислать 98247
мост 98246
поездка 98245
компьютерный 98244
разум 98243
угодно 98242
тишина 98241
субъект 98240
слух 98239
разработать 98238
далекий 98237
благо 98236
покупатель 98235
осень 98234
мистер 98233
париж 98232
увеличение 98231
удивительный 98230
подготовить 98229
танк 98228
должность 98227
записать 98226
зарплата 98225
обращать 98224
родственник 98223
наступить 98222
привет 119000
пакет 98221
зритель 98220
судья 98219
мечтать 98218
странно 98217
превратиться 98216
ресторан 98215
плата 98214
раньше 98213
законодательство 98212
задать 98211
остановить 98210
внезапно 98209
луна 98208
крайне 98207
охрана 98206
публикация 98205
кивнуть 98204
обсуждать 98203
х 98202
наверняка 98201
напомнить 98200
логика 98199
специально 98198
приезжать 98197
проводиться 98196
повторить 98195
синий 98194
сущность 98193
отдавать 98192
проверка 98191
следствие 98190
зеркало 98189
вдоль 98188
конечный 98187
обратный 98186
ладонь 98185
строка 98184
жесткий 98183
дальний 98182
ворота 98181
иванович 98180
чисто 98179
передавать 98178
продолжить 98177
мечта 98176
дмитрий 98175
питание 98174
прибыль 98173
файл 98172
флот 98171
интересовать 98170
религия 98169
божий 98168
плюс 98167
кошка 98166
саша 98165
характерный 98164
мария 98163
толстый 98162
общаться 98161
пятый 98160
важно 98159
висеть 98158
способствовать 98157
ужасный 98156
заказ 98155
отличный 98154
запас 98153
исполнение 98152
крыло 98151
редактор 98150
тон 98149
оборона 98148
дума 98147
полковник 98146
соседний 98145
разрешить 98144
выпустить 98143
заместитель 98142
достойный 98141
кризис 98140
спешить 98139
спор 98138
делаться 98137
озеро 98136
каков 98135
термин 98134
дикий 98133
круглый 98132
дно 98131
повернуться 98130
младший 98129
сми 98128
принятие 98127
эксперт 98126
уничтожить 98125
характеристика 98124
попадать 98123
некоторые 98122
совместный 98121
тепло 98120
следовательно 98119
меньший 98118
север 98117
индивидуальный 98116
темнота 98115
дыхание 98114
концерт 98113
минимум 98112
эксперимент 98111
павел 98110
предоставить 98109
региональный 98108
пища 98107
переговоры 98106
интервью 98105
агентство 98104
умирать 98103
сходить 98102
крепкий 98101
покупка 98100
генеральный 98099
погода 98098
ограничение 98097
воспитание 98096
христос 98095
сюжет 98094
китайский 98093
тенденция 98092
голубой 98091
грех 98090
присутствие 98089
производитель 98088
шутка 98087
молодежь 98086
проснуться 98085
атака 98084
регистрация 98083
окончание 98082
доклад 98081
клетка 98080
летчик 98079
кандидат 98078
символ 98077
везде 98076
практический 98075
перевести 98074
нуждаться 98073
постараться 98072
непосредственно 98071
сексуальный 98070
включая 98069
неизвестный 98068
несчастный 98067
слой 98066
музыкальный 98065
помимо 98064
назначение 98063
виноватый 98062
кой 98061
смена 98060
положительный 98059
мясо 98058
выделить 98057
парк 98056
видный 98055
статус 98054
тюрьма 98053
полтора 98052
наблюдение 98051
разобраться 98050
психологический 98049
заняться 98048
